구,화재건수,30년이상_건물수,전체건물수
강남구,2024,63192,4468163192
송파구,1691,57744,5207457744
영등포구,1366,36301,3545436301
마포구,1334,27730,4138527730
관악구,1304,36564,4773436564
강서구,1246,50079,6749050079
서초구,1179,30261,3284830261
서대문구,1092,27285,3431327285
성북구,1031,28653,4565028653
은평구,1008,34091,3744634091
종로구,998,16715,1723016715
강동구,982,27918,3394027918
성동구,966,20927,3650520927
중랑구,956,27455,3937227455
구로구,955,33917,5267333917
광진구,952,24609,3086224609
용산구,940,25977,2462825977
강북구,886,37367,3070837367
노원구,884,102177,66649102177
금천구,879,18537,2390918537
중구,856,9793,164599793
동작구,822,33110,3532933110
도봉구,808,47770,4041947770
양천구,801,54380,4800654380
동대문구,800,24607,3416024607
